leg,energy_mj_per_tkm,ghg_g_per_mj
air,12.9,86.00337809790297
ship,0.08220205978958844,93.06006553157707
train_a,0.08661187085773082,89.09067885013538
train_b,0.023096498895394887,143.92002630728314
heavy_truck_a,0.8904936569555196,89.09067885013538
heavy_truck_b,0.38118611191667284,143.92002630728314
medium_truck_a,1.2585306485543672,89.09067885013538
medium_truck_b,0.5185075233036074,143.92002630728314
van_a,4.362466662605486,89.09067885013538
van_b,1.9422606194406016,143.92002630728314
